title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
The Art of Getting By,679160,,2011-06-17,230,2697
"McFarland, USA",11020798,,2015-02-20,14,48
Young People Fucking,3220,5100,2008-08-29,2147,21617
Lawless,10001982,16276453,2012-08-29,5753,17473
The September Issue,220633,2622233,2009-08-28,21,87
J. Edgar,11217324,47300000,2011-11-09,348,3509
Ashes of Time Redux,21372,1738217,2008-10-10,0,0
The Haunting in Connecticut,23004765,22138216,2009-03-27,95,1078
Instructions Not Included,7846426,54600000,2013-08-30,195,508
The Hobbit: An Unexpected Journey,84617303,714000000,2012-12-14,10988,45217
Fugitive Pieces,102212,208162,2008-05-02,1,0
Penelope,3802144,11144274,2008-02-29,1287,4043
The Expendables 2,28591370,220400000,2012-08-17,8670,22589
Still Life,12744,2427482,2008-01-18,3717,17769
The Uninvited,10325824,13027228,2009-01-30,227,777
The Possession,17732480,36315921,2012-08-31,2830,13503
The Lucky One,22518358,38900000,2012-04-20,3406,11022
P.K.,3565258,89754000,2014-12-19,9096,28279
The A-Team,25669455,100016697,2010-06-11,22175,286381
Nim's Island,13210579,52069580,2008-04-04,0,0
Thor,65723338,268295994,2011-05-06,19506,119689
The Secrets,19536,83632,2008-11-26,20279,136411
The Conjuring,41855326,180600000,2013-07-19,3446,19055
Winter's Tale,7297694,18200000,2014-02-14,235,837
Watchmen,55214334,77749184,2009-03-06,7550,36789
Snow White and the Huntsman,56217700,241260448,2012-06-01,3659,13129
Never Forever,6529,672744,2008-04-11,706,11893
Love Happens,8057010,13122918,2009-09-18,399,5727
To Save a Life,1581517,45815,2010-01-22,2314,19566
Mirrors,11161074,46797168,2008-08-15,7420,21987
Marmaduke,11599661,50117056,2010-06-04,85,486
Yuvvraaj,264362,4597862,2008-11-21,0,0
Amelia,3904047,5396598,2009-10-23,5159,261868
The Place Beyond the Pines,279457,14082089,2013-03-29,1365,5676
Lemon Tree,14602,6817816,2009-04-17,0,0
Hanna,12370549,23522959,2011-04-08,2113,23346
Skyfall,88364714,804200736,2012-11-09,17837,89792
Over Her Dead Body,4025115,13894441,2008-02-01,1565,3212
Non-Stop,28875635,130641000,2014-02-28,3298,17278
X-Men Origins: Wolverine,85058003,193179707,2009-05-01,794,5759
Elite Squad,3604,14058334,2008-09-19,6085,17575
The Wackness,138401,1098353,2008-07-03,59,169
The Crazies,16067552,15683234,2010-02-26,11295,37263
The Spy Next Door,9726056,20929457,2010-01-15,0,28
Moneyball,19501302,34600724,2011-09-23,4770,8622
Rogue,7711,4613118,2008-04-25,17487,151873
The Words,4750894,1736623,2012-09-07,15006,56207
Inglourious Basterds,38054676,200914970,2009-08-21,5293,15812
Did You Hear About the Morgans?,6616571,55700163,2009-12-18,5,2
College,2153109,1570847,2008-08-29,6649,12087
The Forbidden Kingdom,21401121,75904732,2008-04-18,73,573
After Earth,27520040,183321030,2013-05-31,5241,33829
The Cove,57640,305417,2009-07-31,218,512
Believe,2007567,,2013-12-25,14727,81884
The Brothers Bloom,90400,1999008,2009-05-15,1192,5793
Wall Street: Money Never Sleeps,19011188,82273405,2010-09-24,15,83
Everybody Wants to Be Italian,197861,181310,2008-09-05,0,0
Dinner for Schmucks,23527839,13829402,2010-07-30,230,4427
Before I Go To Sleep,1843347,11818000,2014-10-31,4000,22321
Admission,6154984,,2013-03-22,2380,5163
Parker,7008222,28600000,2013-01-25,4497,97480
Is Anybody There?,46209,1341544,2009-04-17,905,2394
The Boys Are Back,49342,2424953,2009-09-25,506,944
