title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
Ghost Rider: Spirit of Vengeance,22115334,80789928,2012-02-17,4569,11471
Lockout,6231836,17877166,2012-04-13,1429,4594
The Nut Job,19423000,49056421,2014-01-17,153,699
Zero Dark Thirty,417150,37100000,2012-12-19,7638,75693
Foxcatcher,270877,,2014-11-14,10468,137296
Here Comes the Boom,11816596,27809854,2012-10-12,98,952
Hotel Transylvania,42522194,210062555,2012-09-28,394,1020
Winnie the Pooh,7857076,6460000,2011-07-15,1859,10276
The Big Year,3251884,244247,2011-10-14,3283,15129
Night at the Museum: Secret of the Tomb,17100520,248416203,2014-12-19,318,837
Abraham Lincoln: Vampire Hunter,16306974,78952441,2012-06-22,3062,14920
Chernobyl Diaries,7955307,19038008,2012-05-25,109,882
Dumb and Dumber To,36111775,83629000,2014-11-14,20859,98268
The Best Exotic Marigold Hotel,737051,90424115,2012-05-04,89,764
Midnight in Paris,599003,94302174,2011-05-20,2616,7559
My Week with Marilyn,1750507,20457349,2011-11-23,21,14
The Great Gatsby,50085185,206200000,2013-05-10,15038,63237
Red Tails,18782154,489000,2012-01-20,1651,5332
World War Z,66411834,337648165,2013-06-21,12033,83359
The Wolf of Wall Street,18361578,275100000,2013-12-25,27673,139934
Mr. Popper's Penguins,18445355,119137302,2011-06-17,213,277
Samsara,76222,,2012-08-24,2760,1309
Penguins of Madagascar,25447444,290201183,2014-11-26,2681,13525
Texas Chainsaw 3D,21744470,12900000,2013-01-04,416,1422
Final Destination 5,18031396,115300000,2011-08-12,94,418
What If,133898,4354000,2014-08-08,10117,81047
American Reunion,21514080,177978063,2012-04-06,2877,14729
Mud,2215891,,2013-04-26,5826,18590
The Five-Year Engagement,10610060,25074223,2012-04-27,1419,3899
Hit and Run,4526222,704054,2012-08-22,1382,4054
Beastly,9851102,15300000,2011-03-04,88,404
Ted,54415205,330552828,2012-06-29,10427,39973
The Adventures of Tintin,9720993,296402120,2011-12-21,1954,4234
Earth to Echo,8364658,6401862,2014-07-02,192,925
"The Way, Way Back",552788,1692106,2013-07-05,3947,27058
Bridesmaids,26247410,119276798,2011-05-13,585,4186
Captain America: The Winter Soldier,95023721,455000000,2014-04-04,22833,102271
Wish I Was Here,484401,1892000,2014-07-18,7790,36835
Stand Up Guys,1486390,,2013-02-01,820,3230
God's Not Dead,9217013,1875000,2014-03-21,287,3539
Warrior,5242107,9400000,2011-09-09,6607,12872
The Three Musketeers,8674452,111900000,2011-10-21,1923,5195
Free Birds,15805237,54636592,2013-11-01,116,544
Tower Heist,24025190,74884053,2011-11-04,50,512
Ride Along,41516170,19059619,2014-01-17,970,2638
Beautiful Creatures,7582595,40600000,2013-02-14,258,849
The Devil Inside,33732515,48496546,2012-01-06,1590,5144
Red 2,18048422,94813005,2013-07-19,6213,21983
Step Up Revolution,11731708,105396069,2012-07-27,104,341
Take Me Home Tonight,3464679,,2011-03-04,198,416
While We're Young,227688,,2015-03-27,347,1080
The Boy Next Door,14910105,12642699,2015-01-23,248,886
Gangster Squad,17070347,59200000,2013-01-11,4166,17145
Seventh Son,7217640,93400000,2015-02-06,1855,5724
Dream House,8129355,17200000,2011-09-30,500,10372
Immortals,32206425,143400000,2011-11-11,1497,4049
3 Days to Kill,12242218,21900000,2014-02-21,206,713
American Sniper,633456,193400000,2014-12-25,19298,147704
Kick-Ass 2,13332955,32000000,2013-08-16,16791,73255
Glee The 3D Concert Movie,5961231,6800840,2011-08-12,0,6
The Dark Knight Rises,160887295,636300000,2012-07-20,3965,58934
Birdman,424397,59586008,2014-10-17,20600,118726
30 Minutes or Less,13330118,3493516,2011-08-12,973,3413
Jobs,6713900,19800000,2013-08-16,22681,104784
Need for Speed,17844939,159700000,2014-03-14,3235,40244
Pirates of the Caribbean: On Stranger Tides,90151958,804642000,2011-05-20,154,1968
This is the End,20719162,24571120,2013-06-12,19902,89129
The Divergent Series: Insurgent,52263680,135300000,2015-03-20,183,5031
The Purge: Anarchy,29816675,38640199,2014-07-18,565,6110
The Change-Up,13531115,38368962,2011-08-05,2039,16809
Straw Dogs,5123760,,2011-09-16,325,1771
The Help,26044590,46931000,2011-08-10,9060,63916
Premium Rush,6030164,10808153,2012-08-24,2100,8964
Limitless,18907302,82600000,2011-03-18,287,5054
The Loft,2747342,,2015-01-30,84,274
American Hustle,740455,101054000,2013-12-13,15405,104987
A Good Day to Die Hard,24834845,237304984,2013-02-14,4701,8702
Sucker Punch,19058199,53400000,2011-03-25,2097,9027
Fast & Furious 6,97375245,550000000,2013-05-24,7562,62517
Million Dollar Arm,10515659,1850000,2014-05-16,217,1151
The Best of Me,10003827,9160000,2014-10-17,6724,74410
Water for Elephants,16842353,58385185,2011-04-22,66,85
Philomena,128435,62419893,2013-11-22,2385,57085
This is Where I Leave You,11558149,6700000,2014-09-19,430,1533
The Woman in Black,20874072,73397446,2012-02-03,2376,9075
Tyler Perry's Madea's Big Happy Family,25068677,816000,2011-04-22,0,0
The Bling Ring,214395,13300000,2013-06-14,673,1795
The Last Stand,6281433,36280458,2013-01-18,1861,17349
Maleficent,69431298,517000000,2014-05-30,17208,56604
The Boxtrolls,17275239,57418465,2014-09-26,8613,126875
Horrible Bosses,28302165,92100000,2011-07-08,11360,53169
Source Code,14812094,92620470,2011-04-01,1342,4979
Pitch Perfect,5149433,48040982,2012-09-28,6087,20614
The Smurfs 2,17548389,276527576,2013-07-31,2472,14819
Get Hard,33803253,13400000,2015-03-27,13465,67779
Annie,15861939,48700000,2014-12-19,13076,62526
Man of Steel,116619362,377000000,2013-06-14,12907,157240
Mortdecai,4200586,22722426,2015-01-23,1121,10945
Promised Land,173915,540890,2012-12-28,313,454
Prisoners,20817053,61124385,2013-09-20,5744,20758
Mars Needs Moms,6914488,17600000,2011-03-11,118,466
Zookeeper,20065617,89491916,2011-07-08,730,2549
Journey 2: The Mysterious Island,27335363,231400000,2012-02-10,1434,4544
The Twilight Saga: Breaking Dawn Part 1,138122261,430884723,2011-11-18,58,224
Cirque Du Soleil: Worlds Away,2162993,21640239,2012-12-21,15,5
Seven Psychopaths,4174915,4398212,2012-10-12,2623,7130
Inherent Vice,328184,3000000,2014-12-12,15338,27881
The Heat,39115043,70348583,2013-06-28,9363,55975
Lincoln,944308,93085477,2012-11-09,16091,57966
Nitro Circus the Movie 3D,1183701,525861,2012-08-08,1,2
The Last Exorcism Part II,7728354,,2013-03-01,5,20
Cloudy with a Chance of Meatballs 2,34017930,154532382,2013-09-27,663,1335
Kung Fu Panda 2,47656302,500443218,2011-05-26,1641,3745
How to Train Your Dragon 2,49451322,441907011,2014-06-13,16393,170502
The Host,10600112,36700000,2013-03-29,10011,54448
Deliver Us From Evil,9740471,57360693,2014-07-02,412,858
To Rome with Love,361359,56559014,2012-06-22,108,269
The Judge,13116226,36600000,2014-10-10,17462,41800
The Wolverine,53113752,282271394,2013-07-26,18301,89305
Silver Linings Playbook,443003,104319495,2012-11-16,3023,60089
Casa De Mi Padre,2287239,2132184,2012-03-16,155,272
Moonrise Kingdom,522996,22750700,2012-05-25,2271,5452
ParaNorman,14087050,51136348,2012-08-17,3549,77797
The Perks of Being a Wallflower,228359,15641179,2012-09-21,942,10647
Shark Night 3D,8404260,21259326,2011-09-02,26,23
The Conspirator,3506602,3940596,2011-04-15,1883,3488
Dark Shadows,29685274,165800000,2012-05-11,1325,7047
Magic Mike,39127170,53500000,2012-06-29,376,2209
The Three Stooges,17010125,10481077,2012-04-13,2123,5142
Saving Mr. Banks,413373,29243000,2013-12-13,2341,18482
Brave,66323594,301700000,2012-06-22,9582,34470
Elysium,29807393,193090583,2013-08-09,20142,72317
The Dilemma,17816230,21246676,2011-01-14,315,2348
Home,52107731,112693917,2015-03-27,9366,42477
Interstellar,47510360,484700000,2014-11-05,20769,394250
John Wick,14415922,35702062,2014-10-24,30296,177337
One Day,5079566,45545662,2011-08-19,16237,149155
Brick Mansions,9516855,48500000,2014-04-25,208,371
If I Stay,15679190,27800000,2014-08-22,395,1836
The Equalizer,34137828,90800000,2014-09-26,2252,11498
The Hunger Games: Mockingjay - Part 1,121897634,414964344,2014-11-21,5803,43695
Transcendence,10886386,80016949,2014-04-18,2232,11352
Young Adult,310263,6627456,2011-12-09,978,5493
Dark Skies,8189166,9003080,2013-02-22,140,1603
"Big Mommas: Like Father, Like Son",16300803,44770652,2011-02-18,72,225
Bad Teacher,31603106,115904636,2011-06-24,224,543
Paddington,18966676,178246141,2015-01-16,1098,1917
Kingsman: The Secret Service,36206331,267535571,2015-02-13,9193,60960
The Apparition,2841488,4690673,2012-08-24,219,761
