title,opening_weekend,foreign_gross,release_date,posts_score,comments_score
Tyler Perry's Good Deeds,15583924,553000,2012-02-24,0,48
Unfinished Business,4772613,3400000,2015-03-06,426,3623
X-Men: First Class,55101604,207215819,2011-06-03,5684,74802
Legends of Oz: Dorothy's Return,3747780,10200000,2014-05-09,430,669
Blue Jasmine,612064,64100000,2013-07-26,3367,69298
Fright Night,7714388,22700000,2011-08-19,262,873
Marvel's The Avengers,207438708,895237000,2012-05-04,19168,254116
New Year's Eve,13019180,87500000,2011-12-09,741,2391
Tusk,846831,,2014-09-19,15025,106303
Oculus,12005402,16335000,2014-04-11,763,3596
Inside Llewyn Davis,405411,19700000,2013-12-06,6821,33853
Ouija,19875995,48972259,2014-10-24,586,2441
Runner Runner,7706712,43358449,2013-10-04,15703,35116
Devil's Due,8308220,20612514,2014-01-17,158,358
Arthur,12222756,12700000,2011-04-08,9067,59175
Furious 7,147187040,548000000,2015-04-03,22686,203915
Flight,24900566,68000000,2012-11-02,6277,23634
22 Jump Street,57071445,139614539,2014-06-13,15638,89764
Joyful Noise,11225190,226000,2012-01-13,1324,3692
Grown Ups 2,41508572,113315753,2013-07-12,4675,24953
Mama,28402310,74800000,2013-01-18,1909,9826
Big Hero 6,56215889,429600000,2014-11-07,17027,188778
Drive,11340461,41114477,2011-09-16,8414,22218
2 Guns,27059130,56327951,2013-08-02,5870,29461
Heaven is for Real,22522221,9889709,2014-04-16,106,720
MIB 3,54592779,445005922,2012-05-25,1097,3587
Beasts of the Southern Wild,169702,8312000,2012-06-27,2101,53770
Boyhood,387618,19143000,2014-07-11,9374,157765
Tammy,21577049,15850000,2014-07-02,753,8235
No Strings Attached,19652921,78565857,2011-01-21,76,424
Baggage Claim,9031102,887000,2013-09-27,151,487
The Lazarus Effect,10203437,1369337,2015-02-27,157,1384
Courageous,9112839,,2011-09-30,1675,9363
Escape Plan,9885732,112192336,2013-10-18,9325,118987
A Haunted House,18101682,20100000,2013-01-11,506,1192
Star Trek Into Darkness,70165559,238602923,2013-05-16,18329,76484
A Most Violent Year,172788,,2014-12-31,1039,16558
"Tinker, Tailor, Soldier, Spy",310562,56481215,2011-12-09,2385,11139
The Lincoln Lawyer,13206453,17000000,2011-03-18,670,1943
The Best Man Holiday,30107555,1100000,2013-11-15,5405,18840
Oblivion,37054485,197061337,2013-04-19,3705,15586
John Carter,30180188,211061000,2012-03-09,4336,10005
The Bourne Legacy,38142825,162940880,2012-08-10,1715,5878
About Last Night,25649011,365000,2014-02-14,9127,41552
The Hunger Games,152535747,283237076,2012-03-23,14737,123284
Edge of Tomorrow,28760246,269000000,2014-06-06,15850,83664
The Family,14034764,41500000,2013-09-13,19195,141739
Tyler Perry Presents Peeples,4611534,130000,2013-05-10,112,384
Chasing Mavericks,2268274,630,2012-10-26,6,11
End of Watch,13152683,7123013,2012-09-21,2903,15629
Man on a Ledge,8001932,27601189,2012-01-27,1955,4431
Fury,23702421,126000000,2014-10-17,28950,179338
Kevin Hart: Let Me Explain,10030463,74000,2013-07-03,114,185
Raiders of the Lost Ark,1673731,,2012-09-07,16967,49039
Chappie,13346782,49100000,2015-03-06,19612,69065
Dylan Dog: Dead of Night,754779,3447524,2011-04-29,126,2850
The Amazing Spider-Man 2,91608337,506128390,2014-05-02,16225,146393
Django Unchained,30122888,262562804,2012-12-25,21267,114639
21 Jump Street,36302612,63137661,2012-03-16,4132,17348
Super 8,35451168,133091807,2011-06-10,2043,6654
Real Steel,27319677,213800000,2011-10-07,3241,16708
The Adjustment Bureau,21157730,65373734,2011-03-04,471,3458
Diary of a Wimpy Kid: Rodrick Rules,23751502,19718859,2011-03-25,62,240
Jupiter Ascending,18372372,134500000,2015-02-06,3793,20597
House at the End of The Street,12287234,7850222,2012-09-21,22,36
The Call,17118745,16700000,2013-03-15,27387,165149
Godzilla,93188384,328000000,2014-05-16,14806,198739
Diary of a Wimpy Kid: Dog Days,14623599,28103514,2012-08-03,3,10
Dawn of the Planet of the Apes,72611427,500290000,2014-07-11,24156,118151
Insidious,13271464,43000000,2011-04-01,1147,3406
The LEGO Movie,69050279,211000000,2014-02-07,24524,137254
Identity Thief,34551025,39458090,2013-02-08,126,1190
Spring Breakers,263002,17600000,2013-03-15,7902,53533
The Wedding Ringer,20649306,11000000,2015-01-16,127,419
Hope Springs,14650121,50745040,2012-08-08,519,830
Step Up All In,6469857,71261262,2014-08-08,91,426
Side Effects,9303145,31200000,2013-02-08,2125,9335
Jack Reacher,15210156,138269859,2012-12-21,5473,22641
Into the Woods,31051923,76300000,2014-12-25,7113,131154
Pulling Strings,2467168,2048517,2013-10-04,187,680
Red Dawn,14276668,,2012-11-21,1971,5824
Olympus Has Fallen,30373794,62100000,2013-03-22,4904,7805
Titanic 3D,17285453,285666656,2012-04-04,449,931
Warm Bodies,20353967,50600000,2013-02-01,3001,7629
Fast Five,86198765,416300000,2011-04-29,1614,8015
Happy Feet Two,21237068,86400000,2011-11-18,108,498
Iron Man 3,174144585,806426000,2013-05-03,6319,66259
Argo,19458109,96300000,2012-10-12,6813,21594
Battle: Los Angeles,35573187,128266925,2011-03-11,490,4045
Tyler Perry's A Madea Christmas,16007634,853000,2013-12-13,14,1681
August: Osage County,179302,36450127,2013-12-27,2284,50599
Gone,4770360,6417984,2012-02-24,15882,138559
The Girl with the Dragon Tattoo,12768604,130101637,2011-12-21,11745,40384
Conan the Barbarian,10021215,27500000,2011-08-19,3210,3947
Jumping the Broom,15215487,415216,2011-05-06,4,28
"Monsters, Inc.",4774686,3400000,2012-12-19,12301,51745
Big Eyes,3001738,12747413,2014-12-25,2829,19659
The Internship,17325307,48820080,2013-06-07,2743,9980
Hansel and Gretel: Witch Hunters,19690956,170646274,2013-01-25,3813,12771
Taken 3,39201657,236515000,2015-01-09,13318,107445
Senna,73497,6600000,2011-08-12,702,973
Fifty Shades of Grey,85171450,400600000,2015-02-13,11322,52654
Danny Collins,72459,,2015-03-20,34,66
A Very Harold & Kumar 3D Christmas,12954142,326181,2011-11-04,37,87
Insidious Chapter 2,40272103,78332871,2013-09-13,439,849
Mission: Impossible - Ghost Protocol,12785204,485315477,2011-12-16,1214,2267
The Raid: Redemption,213785,,2012-03-23,791,3472
47 Ronin,9910310,112600000,2013-12-25,9865,89813
The Grand Budapest Hotel,811166,115500000,2014-03-07,29494,57813
Teenage Mutant Ninja Turtles,65575105,293800000,2014-08-08,16217,126528
Trouble with the Curve,12162040,13200000,2012-09-21,50,368
Bears,4776267,300000,2014-04-18,9982,30858
Something Borrowed,13945368,21137332,2011-05-06,57,638
Lee Daniels' The Butler,24637312,59966813,2013-08-16,373,1069
Battle of the Year,4603177,7661122,2013-09-20,3787,7638
Seeking a Friend for the End of the World,3822803,2557551,2012-06-22,219,2094
Oz The Great and Powerful,79110453,258400000,2013-03-08,2821,8088
Get On Up,13585915,1208498,2014-08-01,8342,38615
And So It Goes,4642329,10151586,2014-07-25,3508,17788
Unbroken,30621445,45821402,2014-12-25,967,3978
Harry Potter and the Deathly Hallows Part 2,169189427,960500000,2011-07-15,3214,4929
Anchorman 2: The Legend Continues,26232425,46296308,2013-12-18,3266,22325
The Fault in our Stars,48002523,182366663,2014-06-06,2961,13199
Muppets Most Wanted,17005126,29200000,2014-03-21,4846,6018
Rango,38079323,122246996,2011-03-04,2279,12035
Resident Evil: Retribution,21052227,197813724,2012-09-14,105,335
Beauty and the Beast,17751905,14410056,2012-01-13,15221,103357
Homefront,6915241,22900000,2013-11-27,510,1726
Katy Perry: Part of Me,7138266,7400885,2012-07-05,66,360
Paranoia,3528376,6400000,2013-08-16,842,3947
The Eagle,8684464,7631999,2011-02-11,3267,12721
The Hangover Part III,41671198,249800000,2013-05-23,5336,19049
The Grandmaster,132617,57481777,2013-08-23,1290,2093
Paranormal Activity: The Marked Ones,18343611,58442482,2014-01-03,131,630
Les Miserables,27281735,293000000,2012-12-25,9221,76081
The Rum Diary,5135369,10837729,2011-10-28,2078,6453
The Hobbit: The Desolation of Smaug,73645197,702000000,2013-12-13,25788,129761
Begin Again,134064,47294229,2014-06-27,1593,6929
Nightcrawler,10441000,6316000,2014-10-31,7462,33708
The Admiral: Roaring Currents,51431,109567000,2014-08-08,8,11
The Iron Lady,220409,84938707,2011-12-30,79,228
The Secret World of Arrietty,6446395,126368084,2012-02-17,204,607
Last Vegas,16334566,70488283,2013-11-01,104,270
Quartet,47122,41130181,2013-01-11,2257,111025
The Company You Keep,131718,14500000,2013-04-05,1646,1755
The Impossible,143818,161254241,2012-12-21,17747,107214
Cloud Atlas,9612247,103374596,2012-10-26,11221,34114
Tyler Perry's Madea's Witness Protection,25390575,1246000,2012-06-29,0,0
Star Wars: Episode I - The Phantom Menace,22469932,59283211,2012-02-10,447,1258
Snitch,13167607,,2013-02-22,452,1491
The DUFF,10809149,,2015-02-20,262,1605
Exodus: Gods and Kings,24115934,203017315,2014-12-12,2859,15974
12 Years a Slave,923715,131061209,2013-10-18,17341,82799
Dracula Untold,23514615,159248846,2014-10-10,6266,22976
Broken City,8268908,,2013-01-18,135,997
Ice Age: Continental Drift,46629259,715922939,2012-07-13,1331,3720
The Maze Runner,32512804,238322778,2014-09-19,1888,13115
Draft Day,9783603,619809,2014-04-11,211,545
The Fifth Estate,1673351,5300000,2013-10-18,4957,22108
About Time,1076250,71777528,2013-11-01,6674,19548
The November Man,7911597,7538000,2014-08-27,1004,2795
"I, Frankenstein",8610441,52079302,2014-01-24,3197,15204
Don 2,1673921,,2011-12-22,1580,12719
The Tree of Life,372920,41000000,2011-05-27,5393,8938
"Crazy, Stupid, Love.",19104303,58500000,2011-07-29,150,1843
Selma,571450,,2014-12-25,4036,126764
Riddick,19030375,56312160,2013-09-06,17475,64109
Frank Miller's Sin City: A Dame to Kill For,6317683,25649812,2014-08-22,2555,10457
The Twilight Saga: Breaking Dawn Part 2,141067634,537360640,2012-11-16,102,286
Prom,4712638,,2011-04-29,235,1232
Captain Phillips,25718314,111690956,2013-10-11,8712,77653
The Way Back,1218868,17646390,2011-01-21,3945,27058
The Other Woman,24763752,112870000,2014-04-25,563,2494
Sinister,18007634,29625536,2012-10-12,3575,12083
Now You See Me,29350389,234000000,2013-05-31,4087,14537
The Cabin in the Woods,14743614,24412803,2012-04-13,10351,34125
Divergent,54607747,137800000,2014-03-21,655,8581
Mandela: Long Walk to Freedom,84283,19010750,2013-11-29,3733,20648
One Direction: This is Us,15815497,39659524,2013-08-30,6023,45690
Wreck-It Ralph,49038712,281800000,2012-11-02,12122,34828
The Hobbit: The Battle of the Five Armies,54724334,700000000,2014-12-17,19993,155434
Despicable Me 2,83517315,602700620,2013-07-03,4855,64133
Grudge Match,7021993,15100000,2013-12-25,834,1534
Woman in Gold,2091551,33694,2015-04-01,285,777
Movie 43,4805878,23598535,2013-01-25,7335,38955
A Most Wanted Man,2687227,14317000,2014-07-25,323,555
Wild,606810,14621185,2014-12-03,6546,159228
We Bought a Zoo,9360434,44457291,2011-12-23,64,1906
Thor: The Dark World,85737841,438421000,2013-11-08,19261,115711
The Rite,14789393,63000000,2011-01-28,59,368
The Spectacular Now,197415,,2013-08-02,2262,8601
The Book Thief,105005,55097835,2013-11-08,825,16750
The Smurfs,35611637,421135165,2011-07-29,3088,15107
Jack Ryan: Shadow Recruit,15451981,84933618,2014-01-17,275,1008
The Purge,34058360,24855512,2013-06-07,3833,23031
Pacific Rim,37285325,309200000,2013-07-12,10183,127180
The Sitter,9851435,4500862,2011-12-09,292,799
Horrible Bosses 2,15457418,52200000,2014-11-26,9770,48372
I Don't Know How She Does It,4402201,20889211,2011-09-16,324,1809
Carrie,16101552,49524059,2013-10-18,13122,69034
The Vow,41202458,71100540,2012-02-10,2634,12339
Taken 2,49514769,236287019,2012-10-05,8805,65469
Top Five,6896593,117000,2014-12-12,447,6434
A Dangerous Method,167953,21757332,2011-11-23,539,1292
Talaash,1638706,,2012-11-30,2,1
Ex Machina,250000,6224774,2015-04-10,5264,10517
Percy Jackson: Sea of Monsters,14401054,131290761,2013-08-07,498,1270
Neighbors,49033915,118000000,2014-05-09,2883,15779
The Odd Life of Timothy Green,10822903,,2012-08-15,122,113
I Am Number Four,19449893,94778000,2011-02-18,214,2217
Safe Haven,21401594,26245020,2013-02-14,487,3385
Scary Movie 5,14157367,46362957,2013-04-12,983,4872
Parental Guidance,14554053,42504936,2012-12-25,44,104
A Walk Among the Tombstones,12758780,26874000,2014-09-19,312,1437
Cinderella,67877361,256000000,2015-03-13,4151,21733
Looper,20801522,110020614,2012-09-28,17878,80286
The Railway Man,61845,17882455,2014-04-11,297,380
Silent House,6661234,346889,2012-03-09,137,1244
Hoodwinked Too! Hood vs. Evil,4108630,6817189,2011-04-29,54,216
